Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
3000187,60-Refreshing Cleansing Gel 150ml,,MARIA GALLAND RETAIL,1,0,47.8,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3000181,61-Gentle Cleansing Milk 200ml,,MARIA GALLAND RETAIL,1,0,47.4,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3000182,62-Mattifying Hydrating Lotion 200ml,,MARIA GALLAND RETAIL,1,0,47.6,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3000184,64-Silky Soft lotion 200ml,,MARIA GALLAND RETAIL,1,0,49.4,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3000609,65A-Eye  Make up Remover Lotion 125ml,,MARIA GALLAND RETAIL,1,0,47.9,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3000186,66-Gentle Exfoliator 50ml,,MARIA GALLAND RETAIL,1,0,41.9,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3001089,67-Cleansing oil 120ml,,MARIA GALLAND RETAIL,1,0,56.5,,, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
970218,2-Creamy Soft Mask 50ml,,MARIA GALLAND RETAIL,1,0,66.4,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
970219,5-Rejuvenating Cream 50ml,,MARIA GALLAND RETAIL,1,0,81.6,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3000561,5A-Cell Rejuvenating Cream 50ml,,MARIA GALLAND RETAIL,1,0,157.9,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
970220,5B-Super Rejuvenating Cream 50ml,,MARIA GALLAND RETAIL,1,0,68.43,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3000562,5C-Cell Rejuvenating Serum 30ml,,MARIA GALLAND RETAIL,1,0,121.3,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
970221,17B-Special Cream for Sensitive Skin 50ml,,MARIA GALLAND RETAIL,1,0,89.2,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
1410050,41-Gentle Exfoliating Cream for the face 550ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3001344,81-Cell Rejuvenating Caviar Mask 50ml,,MARIA GALLAND RETAIL,1,0,119.4,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
1089050,89-Principle Moisture Cream 50ml,,MARIA GALLAND RETAIL,1,0,109.3,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
1093015,93-Enriched Eye Cream 15ml,,MARIA GALLAND RETAIL,1,0,77,,, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3001011,001-Caviar 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001304,002-Orchidee noire 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001305,003-Malachite 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001014,004-Truffe Blanche 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001015,005-Argent 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001016,006-Or 10x2.5ml,,MARIA GALLAND RETAIL,1,0,22.5,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001017,007-Eye 10x2.5ml,,MARIA GALLAND RETAIL,1,0,25,,, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
1090030,90-Firming Neck Cream 30ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970413,91-Ultra anti Wrinkle Cream 50ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970247,92-Hydrating Cooling Mask 75ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970416,94-Extra Active 3.6 Omege Comlex 30ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970248,95-Eye conture Colling Mask 30ml,,MARIA GALLAND RETAIL,1,0,72.4,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
1008000,96-Intensive Hydrating Cream 50ml,,MARIA GALLAND RETAIL,1,0,80,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3000074,96A-Intensive Hydrating Cream Plus 50ml,,MARIA GALLAND RETAIL,1,0,101.7,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
1008500,96B-Hydra nutritive Cream 50ml,,MARIA GALLAND RETAIL,1,0,86.1,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970252,98-Intensive Action Hydrating Serum 30ml,,MARIA GALLAND RETAIL,1,0,86,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3001553,99-Glov Moisturiser Nude 10-30ml-V,,MARIA GALLAND RETAIL,1,0,43.01,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3001556,99-Glov Moisturiser Nude 20-30ml-V,,MARIA GALLAND RETAIL,1,0,43.01,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3001559,99-Glov Moisturiser Nude 30-30ml-V,,MARIA GALLAND RETAIL,1,0,43.01,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3001509,100-Hydra lift Eye Cream 15ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3000912,100B-Lift Eye Mask Patch(5pcs),,MARIA GALLAND RETAIL,1,0,0,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970317,153-Intense Action Firming Mask 50ml,,MARIA GALLAND RETAIL,1,0,77.1,,, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
1813150,131-Precious Mask 50ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3001650,340-Lumin Eclat Serum -30ml-V,,MARIA GALLAND RETAIL,1,0,87,,, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3001595,360-Lumin Eclat Silky Cream -50ml-V,,MARIA GALLAND RETAIL,1,0,85.5,,, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
970273,213-Gentle Soothing Cream 50ml,,MARIA GALLAND RETAIL,1,0,80.9,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3001154,214-Gentle Soothing Infinity Serum 30ml,,MARIA GALLAND RETAIL,1,0,91.8,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3000923,215-Gentle Soothing Facial Oil 30ml,,MARIA GALLAND RETAIL,1,0,80,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3001150,216-Tendresse Mask 50ml,,MARIA GALLAND RETAIL,1,0,81.9,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3001363,220-Serum Cellulaire 2x15ml,,MARIA GALLAND RETAIL,1,0,97,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3001367,221-Cream Cellulaire 50ml,,MARIA GALLAND RETAIL,1,0,112,,, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3000972,249-Profilift Serum 3D 30ml,,MARIA GALLAND RETAIL,1,0,70.8,,, exclusive,PROFITLIFT LINE,,,,,,,,,,,,,no_image.png,standard
970514,250-Profilift Firming Cream 50ml,,MARIA GALLAND RETAIL,1,0,92.4,,, exclusive,PROFITLIFT LINE,,,,,,,,,,,,,no_image.png,standard
1970515,251-Profflift Intensive Cure 4x7ml,,MARIA GALLAND RETAIL,1,0,185.1,,, exclusive,PROFITLIFT LINE,,,,,,,,,,,,,no_image.png,standard
3001092,300-Velvet Skin Matiffying Cream 50ml,,MARIA GALLAND RETAIL,1,0,76,,, exclusive,MATITY LINE,,,,,,,,,,,,,no_image.png,standard
3001095,301-Perfecting Pore Refiner 30ml,,MARIA GALLAND RETAIL,1,0,80.2,,, exclusive,MATITY LINE,,,,,,,,,,,,,no_image.png,standard
3001099,302-Purifying  Exfoliating Mask 75ml,,MARIA GALLAND RETAIL,1,0,73,,, exclusive,MATITY LINE,,,,,,,,,,,,,no_image.png,standard
1800050,800-Perfecting Lift Cream 50ml,,MARIA GALLAND RETAIL,1,0,0,,, exclusive,LIFT TREATMENT,,,,,,,,,,,,,no_image.png,standard
1802030,802-Perfecting Lift Serum 30ml,,MARIA GALLAND RETAIL,1,0,202,,, exclusive,LIFT TREATMENT,,,,,,,,,,,,,no_image.png,standard
3000363,1000-Cream Mille 50ml,,MARIA GALLAND RETAIL,1,0,560.1,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000367,1005-Radiance Cream Mille 50ml,,MARIA GALLAND RETAIL,1,0,336.6,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000354,1006-Hydrating Cream Mille 50ml,,MARIA GALLAND RETAIL,1,0,396.4,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000371,1010-Radiance serum Mille 30ml,,MARIA GALLAND RETAIL,1,0,360.9,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000392,1012-Hydrating Serum Mille 30ml,,MARIA GALLAND RETAIL,1,0,342.4,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000395,1020-Eye Contoure Cream Mille 15ml,,MARIA GALLAND RETAIL,1,0,168.3,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000376,1030-Radiance Mask Mille 50ml,,MARIA GALLAND RETAIL,1,0,233.7,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
3000400,1040-Body Cream Mille 200ml,,MARIA GALLAND RETAIL,1,0,224.4,,, exclusive,GAMME MILLE,,,,,,,,,,,,,no_image.png,standard
