Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
3416070001873,60-Refreshing Cleansing Gel 150ml,3000187,MARIA GALLAND RETAIL,1,0,47.8,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070001811,61-Gentle Cleansing Milk 200ml,3000181,MARIA GALLAND RETAIL,1,0,47.4,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070001828,62-Mattifying Hydrating Lotion 200ml,3000182,MARIA GALLAND RETAIL,1,0,47.6,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070001835,63-Cleansing Cream 200ML,3000183,MARIA GALLAND RETAIL,1,0,49.2,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070001842,64-Silky Soft lotion 200ml,3000184,MARIA GALLAND RETAIL,1,0,49.4,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070006090,65A-Eye  Make up Remover Lotion 125ml,3000609,MARIA GALLAND RETAIL,1,0,47.9,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070001866,66-Gentle Exfoliator 50ml,3000186,MARIA GALLAND RETAIL,1,0,41.9,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416070010899,67-Cleansing oil 120ml,3001089,MARIA GALLAND RETAIL,1,0,56.5,, No Tax, exclusive,CLEANSERS ,,,,,,,,,,,,,no_image.png,standard
3416079702184,2-Creamy Soft Mask 50ml,970218,MARIA GALLAND RETAIL,1,0,66.4,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416079702191,5-Rejuvenating Cream 50ml,970219,MARIA GALLAND RETAIL,1,0,81.6,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070005611,5A-Cell Rejuvenating Cream 50ml,3000561,MARIA GALLAND RETAIL,1,0,157.9,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416079702207,5B-Super Rejuvenating Cream 50ml,970220,MARIA GALLAND RETAIL,1,0,68.43,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070005628,5C-Cell Rejuvenating Serum 30ml,3000562,MARIA GALLAND RETAIL,1,0,121.3,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416079702214,17B-Special Cream for Sensitive Skin 50ml,970221,MARIA GALLAND RETAIL,1,0,89.2,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416074100503,41-Gentle Exfoliating Cream for the face 550ml,1410050,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070013449,81-Cell Rejuvenating Caviar Mask 50ml,3001344,MARIA GALLAND RETAIL,1,0,119.4,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070890507,89-Principle Moisture Cream 50ml,1089050,MARIA GALLAND RETAIL,1,0,109.3,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070930159,93-Enriched Eye Cream 15ml,1093015,MARIA GALLAND RETAIL,1,0,77,, No Tax, exclusive,CLASSSIC LINE,,,,,,,,,,,,,no_image.png,standard
3416070013036,001-Caviar 10x2.5ml,3001011,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070013043,002-Orchidee noire 10x2.5ml,3001304,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3001305,003-Malachite 10x2.5ml,3001305,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070013067,004-Truffe Blanche 10x2.5ml,3001014,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070013074,005-Argent 10x2.5ml,3001015,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070013081,006-Or 10x2.5ml,3001016,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070013098,007-Eye 10x2.5ml,3001017,MARIA GALLAND RETAIL,1,0,25,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
3416070015931,009-Essence,3001593,MARIA GALLAND RETAIL,1,0,22.5,, No Tax, exclusive,LIGNE ESSENCES,,,,,,,,,,,,,no_image.png,standard
1090030,90-Firming Neck Cream 30ml,1090030,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
970413,91-Ultra anti Wrinkle Cream 50ml,970413,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416079702474,92-Hydrating Cooling Mask 75ml,970247,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416079704164,94-Extra Active 3.6 Omege Comlex 30ml,970416,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070016235,95-Eye conture Colling Mask 30ml,970248,MARIA GALLAND RETAIL,1,0,72.4,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416079702481,95-Eye conture Colling Mask 30ml,970248,MARIA GALLAND RETAIL,1,0,72.4,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070080007,96-Intensive Hydrating Cream 50ml,1008000,MARIA GALLAND RETAIL,1,0,80,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070000746,96A-Intensive Hydrating Cream Plus 50ml,3000074,MARIA GALLAND RETAIL,1,0,101.7,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070085002,96B-Hydra nutritive Cream 50ml,1008500,MARIA GALLAND RETAIL,1,0,86.1,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
34160079702528,98-Intensive Action Hydrating Serum 30ml,970252,MARIA GALLAND RETAIL,1,0,86,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070015535,99-Glov Moisturiser Nude 10-30ml-V,3001553,MARIA GALLAND RETAIL,1,0,43.01,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070015566,99-Glov Moisturiser Nude 20-30ml-V,3001556,MARIA GALLAND RETAIL,1,0,43.01,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3001559,99-Glov Moisturiser Nude 30-30ml-V,3001559,MARIA GALLAND RETAIL,1,0,43.01,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416070015092,100-Hydra lift Eye Cream 15ml,3001509,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3000912,100B-Lift Eye Mask Patch(5pcs),3000912,MARIA GALLAND RETAIL,1,0,,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
3416079703174,153-Intense Action Firming Mask 50ml,970317,MARIA GALLAND RETAIL,1,0,77.1,, No Tax, exclusive,HYDRATING FIRMING LINE,,,,,,,,,,,,,no_image.png,standard
1813150,131-Precious Mask 50ml,1813150,MARIA GALLAND RETAIL,1,0,0,, No Tax, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3416070008100,132-Precious Day Cream 50ml,3000810,MARIA GALLAND RETAIL,1,0,104.1,, No Tax, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3416070016501,340-Lumin Eclat Serum -30ml-V,3001650,MARIA GALLAND RETAIL,1,0,87,, No Tax, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3416070015955,360-Lumin Eclat Silky Cream -50ml-V,3001595,MARIA GALLAND RETAIL,1,0,85.5,, No Tax, exclusive,PRECIOUS LINE,,,,,,,,,,,,,no_image.png,standard
3416079702733,213-Gentle Soothing Cream 50ml,970273,MARIA GALLAND RETAIL,1,0,80.9,, No Tax, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
3416070011544,214-Gentle Soothing Infinity Serum 30ml,3001154,MARIA GALLAND RETAIL,1,0,91.8,, No Tax, exclusive,TENDERNESS LINE,,,,,,,,,,,,,no_image.png,standard
