Code,Name,Parent Category Code,Image name
ACEROLA,ACEROLA,MG PROMOTIONS & ONE SHOT,no_image.png
ACTIVE AGE,ACTIVE AGE,MARIA GALLAND RETAIL,no_image.png
BODY,BODY,MARIA GALLAND RETAIL,no_image.png
CLASSSIC LINE,CLASSSIC LINE,MARIA GALLAND RETAIL,no_image.png
CLEANSERS ,CLEANSERS ,MARIA GALLAND RETAIL,no_image.png
FINGER JOINT RUBBER WOOD(HSH),FINGER JOINT RUBBER WOOD(HSH),BOARD PANEL,no_image.png
GAMME MILLE,GAMME MILLE,MARIA GALLAND RETAIL,no_image.png
HELIOSOIN,HELIOSOIN,MARIA GALLAND RETAIL,no_image.png
HOMME GALLAND,HOMME GALLAND,MARIA GALLAND RETAIL,no_image.png
HYDRATING FIRMING LINE,HYDRATING FIRMING LINE,MARIA GALLAND RETAIL,no_image.png
LIFT TREATMENT,LIFT TREATMENT,MARIA GALLAND RETAIL,no_image.png
LIFT TREATMENT,LIFT TREATMENT,MARIA GALLAND CABIN,no_image.png
LIGNE ESSENCES,LIGNE ESSENCES,MARIA GALLAND RETAIL,no_image.png
MANGO WOOD,MANGO WOOD,Wooden Panel,no_image.png
MC(TH),MC(TH),BOARD PANEL,no_image.png
MATITY LINE,MATITY LINE,MARIA GALLAND CABIN,no_image.png
MDF WHITE,MDF WHITE,BOARD PANEL,no_image.png
MILLE PEARL,MILLE PEARL,MG PROMOTIONS & ONE SHOT,no_image.png
ML,ML,BOARD PANEL,no_image.png
PINE WOOD,PINE WOOD,Wooden Panel,no_image.png
PLYWOOD PINE LAMINATE BOTH SIDE,PLYWOOD PINE LAMINATE BOTH SIDE,BOARD PANEL,no_image.png
PLYWOOD VN,PLYWOOD VN,BOARD PANEL,no_image.png
PRECIOUS LINE,PRECIOUS LINE,MARIA GALLAND CABIN,no_image.png
PROFITLIFT LINE,PROFITLIFT LINE,MARIA GALLAND CABIN,no_image.png
RELAXING TREATMENT,RELAXING TREATMENT,BODY MASSAGE,no_image.png
SETS,SETS,MG PROMOTIONS & ONE SHOT,no_image.png
SOIN DERMATOLOGIQUE -SD,SOIN DERMATOLOGIQUE -SD,MARIA GALLAND RETAIL,no_image.png
SOIN SPECIFIQUE,SOIN SPECIFIQUE,MARIA GALLAND CABIN,no_image.png
SPECIAL CABIN,SPECIAL CABIN,MARIA GALLAND RETAIL,no_image.png
SPECIAL CABIN,SPECIAL CABIN,MARIA GALLAND CABIN,no_image.png
TENDERNESS LINE,TENDERNESS LINE,FACE MASSAGE,no_image.png
THE ANTI AGING EXPERT TREATMENT,THE ANTI AGING EXPERT TREATMENT,FACE MASSAGE,no_image.png
THE ANTI AGING SIGNATURE TREATMENT,THE ANTI AGING SIGNATURE TREATMENT,FACE MASSAGE,no_image.png
THE BEAUTY ESSENTIAL TREATMENTS,THE BEAUTY ESSENTIAL TREATMENTS,FACE MASSAGE,no_image.png
THE LIMITED EDITION TREATMENTS,THE LIMITED EDITION TREATMENTS,FACE MASSAGE,no_image.png
THE SPECIALISH TREATMENTS,THE SPECIALISH TREATMENTS,FACE MASSAGE,no_image.png
TRAVEL SIZE,TRAVEL SIZE,MG PROMOTIONS & ONE SHOT,no_image.png
Waxing Men,Waxing Men,Waxing,no_image.png
Waxing Women,Waxing Women,Waxing,no_image.png
WHITE PEONY,WHITE PEONY,MG PROMOTIONS & ONE SHOT,no_image.png
