Code,Name,Parent Category Code,Image name
ACTIVE AGE,ACTIVE AGE,MARIA GALLAND RETAIL,c1.png
BODY CARE,BODY CARE,MARIA GALLAND RETAIL,c1.png
CLASSSIC LINE,CLASSSIC LINE,MARIA GALLAND RETAIL,c1.png
CLEANSERS ,CLEANSERS ,MARIA GALLAND RETAIL,c1.png
GAMME MILLE,GAMME MILLE,MARIA GALLAND RETAIL,c1.png
HELIOSOIN,HELIOSOIN,MARIA GALLAND RETAIL,c1.png
HOMME GALLAND,HOMME GALLAND,MARIA GALLAND RETAIL,c1.png
HYDRATING FIRMING LINE,HYDRATING FIRMING LINE,MARIA GALLAND RETAIL,c1.png
LIFT TREATMENT,LIFT TREATMENT,MARIA GALLAND RETAIL,c1.png
LIGNE ESSENCES,LIGNE ESSENCES,MARIA GALLAND RETAIL,c1.png
LIMITED EDITION,LIMITED EDITION,MARIA GALLAND RETAIL,c1.png
MAKE UP,MAKE UP,MARIA GALLAND RETAIL,c1.png
MATITY LINE,MATITY LINE,MARIA GALLAND RETAIL,c1.png
PRECIOUS LINE,PRECIOUS LINE,MARIA GALLAND RETAIL,c1.png
PROFITLIFT LINE,PROFITLIFT LINE,MARIA GALLAND RETAIL,c1.png
SOIN DERMATOLOGIQUE -SD,SOIN DERMATOLOGIQUE -SD,MARIA GALLAND RETAIL,c1.png
SOIN SPECIFIQUE,SOIN SPECIFIQUE,MARIA GALLAND RETAIL,c1.png
TENDERNESS LINE,TENDERNESS LINE,MARIA GALLAND RETAIL,c1.png
TRVALE SET CLEANSING CR SERUM,TRVALE SET CLEANSING CR SERUM,MARIA GALLAND RETAIL,c1.png
ACTIVE AGE,ACTIVE AGE,MARIA GALLAND CABIN,c1.png
BODY,BODY,MARIA GALLAND CABIN,c1.png
CLASSSIC LINE,CLASSSIC LINE,MARIA GALLAND CABIN,c1.png
CLEANSERS ,CLEANSERS ,MARIA GALLAND CABIN,c1.png
GAMME MILLE,GAMME MILLE,MARIA GALLAND CABIN,c1.png
HELIOSOIN,HELIOSOIN,MARIA GALLAND CABIN,c1.png
HYDRATING FIRMING LINE,HYDRATING FIRMING LINE,MARIA GALLAND CABIN,c1.png
LIFT TREATMENT,LIFT TREATMENT,MARIA GALLAND CABIN,c1.png
LIGNE ESSENCES,LIGNE ESSENCES,MARIA GALLAND CABIN,c1.png
MATITY LINE,MATITY LINE,MARIA GALLAND CABIN,c1.png
PRECIOUS LINE,PRECIOUS LINE,MARIA GALLAND CABIN,c1.png
PROFITLIFT LINE,PROFITLIFT LINE,MARIA GALLAND CABIN,c1.png
SOIN DERMATOLOGIQUE -SD,SOIN DERMATOLOGIQUE -SD,MARIA GALLAND CABIN,c1.png
SOIN SPECIFIQUE,SOIN SPECIFIQUE,MARIA GALLAND CABIN,c1.png
SPECIAL CABIN,SPECIAL CABIN,MARIA GALLAND CABIN,c1.png
TENDERNESS LINE,TENDERNESS LINE,MARIA GALLAND CABIN,c1.png
ACEROLA,ACEROLA,MG PROMOTIONS & ONE SHOT,c1.png
WHITE PEONY,WHITE PEONY,MG PROMOTIONS & ONE SHOT,c1.png
MILLE PEARL,MILLE PEARL,MG PROMOTIONS & ONE SHOT,c1.png
SETS,SETS,MG PROMOTIONS & ONE SHOT,c1.png
TRAVEL SIZE,TRAVEL SIZE,MG PROMOTIONS & ONE SHOT,c1.png
RELAXING TREATMENT,RELAXING TREATMENT,BODY MASSAGE,c1.png
SILHOUETTE TREATMENTS,SILHOUETTE TREATMENTS,BODY MASSAGE,c1.png
THE ANTI AGING EXPERT TREATMENT,THE ANTI AGING EXPERT TREATMENT,FACE MASSAGE,c1.png
THE ANTI AGING SIGNATURE TREATMENT,THE ANTI AGING SIGNATURE TREATMENT,FACE MASSAGE,c1.png
THE BEAUTY ESSENTIAL TREATMENTS,THE BEAUTY ESSENTIAL TREATMENTS,FACE MASSAGE,c1.png
THE LIMITED EDITION TREATMENTS,THE LIMITED EDITION TREATMENTS,FACE MASSAGE,c1.png
THE SPECIALISH TREATMENTS,THE SPECIALISH TREATMENTS,FACE MASSAGE,c1.png
Waxing Men,Waxing Men,Waxing,c1.png
Waxing Women,Waxing Women,Waxing,c1.png
FINGER JOINT RUBBER WOOD(BW),FINGER JOINT RUBBER WOOD(BW),BOARD PANEL,c1.png
FINGER JOINT RUBBER WOOD(HSH),FINGER JOINT RUBBER WOOD(HSH),BOARD PANEL,c1.png
MC CL,MC CL,BOARD PANEL,c1.png
MC S1,MC S1,BOARD PANEL,c1.png
MC S2,MC S2,BOARD PANEL,c1.png
MC(TH),MC(TH),BOARD PANEL,c1.png
MDF WHITE S1,MDF WHITE S1,BOARD PANEL,c1.png
PLYWOOD PINE LAMINATE ,PLYWOOD PINE LAMINATE ,BOARD PANEL,c1.png
SMARTBOARD,SMARTBOARD,BOARD PANEL,c1.png
PINE WOOD,PINE WOOD,Wooden Panel,c1.png
MANGO WOOD,MANGO WOOD,Wooden Panel,c1.png
